NUP37 SEH1L SEC13 NUP43 NUP85 NUP133 NUP98 NUP107 NUP160
NUP37 NA -0.53 2.98 7.37 8.18 9.83 4.9 5.15 9.83
SEH1L -0.53 NA 0.89 2.51 0.82 0.87 -1.05 1.03 -0.5
SEC13 2.98 0.89 NA 2.79 2.83 1.89 1.47 3.01 2.76
NUP43 7.37 2.51 2.79 NA 11.41 9.86 4.74 9.58 9.75
NUP85 8.18 0.82 2.83 11.41 NA 10.8 3.19 5.71 8.9
NUP133 9.83 0.87 1.89 9.86 10.8 NA 5.49 6.15 8.38
NUP98 4.9 -1.05 1.47 4.74 3.19 5.49 NA 5.99 8.05
NUP107 5.15 1.03 3.01 9.58 5.71 6.15 5.99 NA 12.48
NUP160 9.83 -0.5 2.76 9.75 8.9 8.38 8.05 12.48 NA
